"cl1","cl2","cl3","cl4","cl5","cl6","cl7"
NA,NA,NA,NA,"CCDC200","SPCS3",NA
NA,NA,NA,NA,"SND1","SETD2",NA
NA,NA,NA,NA,"DOCK7","MYH9",NA
NA,NA,NA,NA,"SDCCAG8","SLC20A1",NA
NA,NA,NA,NA,"ADAMTS12","LTBR",NA
NA,NA,NA,NA,"PIAS1","ITPR2",NA
NA,NA,NA,NA,"CRISPLD2","SEC24D",NA
NA,NA,NA,NA,"AC245297.3","UBR4",NA
NA,NA,NA,NA,"AKAP13","DSE",NA
NA,NA,NA,NA,"LMCD1","SEC61A1",NA
NA,NA,NA,NA,"FNDC3B","MT-ATP6",NA
NA,NA,NA,NA,"PAG1","RTN3",NA
NA,NA,NA,NA,"ARFGEF2","INSIG1",NA
NA,NA,NA,NA,"SUCLG2","TMX1",NA
NA,NA,NA,NA,"RBMS2","NEAT1",NA
NA,NA,NA,NA,"ARMC9","TWSG1",NA
NA,NA,NA,NA,"MED27","PTPRE",NA
NA,NA,NA,NA,"ABL1","CEP350",NA
NA,NA,NA,NA,"MALAT1","CCBE1",NA
NA,NA,NA,NA,"GJC1","MT-ND1",NA
NA,NA,NA,NA,"FYN","SLC39A7",NA
NA,NA,NA,NA,"PACS1","SSH1",NA
NA,NA,NA,NA,"ERBIN","MGAT5",NA
NA,NA,NA,NA,"ATXN10","CALR",NA
NA,NA,NA,NA,"KIF13A","TMEM132A",NA
NA,NA,NA,NA,"OGA","WWC2",NA
NA,NA,NA,NA,"MYO1E","CEMIP2",NA
NA,NA,NA,NA,"ABL2","GPR176",NA
NA,NA,NA,NA,"ETNK1","LRPAP1",NA
NA,NA,NA,NA,"KMT2C","ZEB2",NA
NA,NA,NA,NA,"CREBBP","UBR5",NA
NA,NA,NA,NA,"ABLIM3","CDH13",NA
NA,NA,NA,NA,"LHFPL2","NF1",NA
NA,NA,NA,NA,"EDIL3","ERP44",NA
NA,NA,NA,NA,"FNDC3A","FAM126A",NA
NA,NA,NA,NA,"EPS8","TNFAIP3",NA
NA,NA,NA,NA,"USP34","PKD2",NA
NA,NA,NA,NA,"CNOT2","KDELR3",NA
NA,NA,NA,NA,"NF1","CDK17",NA
NA,NA,NA,NA,"TEAD1","LEPROT",NA
NA,NA,NA,NA,"MYO10","MFSD1",NA
NA,NA,NA,NA,"ARHGEF7","RNF213",NA
NA,NA,NA,NA,"BIRC6","CREB3L2",NA
NA,NA,NA,NA,"PTEN","DCBLD2",NA
NA,NA,NA,NA,"TASOR2","CCNL1",NA
NA,NA,NA,NA,"TCF4","BIRC6",NA
NA,NA,NA,NA,"CEP170","LGALS3BP",NA
NA,NA,NA,NA,"NPC1",NA,NA
NA,NA,NA,NA,"AMPD3",NA,NA
NA,NA,NA,NA,"IL4R",NA,NA
NA,NA,NA,NA,"CPED1",NA,NA
NA,NA,NA,NA,"SSH1",NA,NA
NA,NA,NA,NA,"SMC5",NA,NA
NA,NA,NA,NA,"MARCH6",NA,NA
NA,NA,NA,NA,"MARCH3",NA,NA
NA,NA,NA,NA,"CDK6",NA,NA
NA,NA,NA,NA,"GBE1",NA,NA
NA,NA,NA,NA,"RABGAP1",NA,NA
NA,NA,NA,NA,"RABGEF1",NA,NA
NA,NA,NA,NA,"PCNX4",NA,NA
NA,NA,NA,NA,"EPB41L2",NA,NA
NA,NA,NA,NA,"ADAM19",NA,NA
NA,NA,NA,NA,"CCDC91",NA,NA
NA,NA,NA,NA,"SLC4A7",NA,NA
NA,NA,NA,NA,"DST",NA,NA
NA,NA,NA,NA,"ZNF638",NA,NA
NA,NA,NA,NA,"CAP2",NA,NA
NA,NA,NA,NA,"AHI1",NA,NA
NA,NA,NA,NA,"ARIH1",NA,NA
NA,NA,NA,NA,"PICALM",NA,NA
NA,NA,NA,NA,"GNA12",NA,NA
NA,NA,NA,NA,"ZEB1",NA,NA
NA,NA,NA,NA,"RASA2",NA,NA
NA,NA,NA,NA,"CHD2",NA,NA
NA,NA,NA,NA,"HIVEP2",NA,NA
NA,NA,NA,NA,"EIF4G3",NA,NA
NA,NA,NA,NA,"MNAT1",NA,NA
NA,NA,NA,NA,"ANKRD12",NA,NA
NA,NA,NA,NA,"N4BP2L2",NA,NA
NA,NA,NA,NA,"MARCH7",NA,NA
NA,NA,NA,NA,"GIGYF2",NA,NA
NA,NA,NA,NA,"TSPAN5",NA,NA
NA,NA,NA,NA,"SSH2",NA,NA
NA,NA,NA,NA,"FRYL",NA,NA
NA,NA,NA,NA,"FLNB",NA,NA
NA,NA,NA,NA,"PIK3C2A",NA,NA
NA,NA,NA,NA,"TBC1D1",NA,NA
NA,NA,NA,NA,"ARHGAP22",NA,NA
