Mixture	myCAF	SLC14A1+ FB	AP-1+ FB	PI16+ FB	ISG+ FB	dCAF	FRC	ASPN+ FB	SMC	Pericytes	Urothelial	P-value	Correlation	RMSE	Absolute score (sig.score)
U0134	0.30849140002126	0.163818671802565	0.115135564225861	0.100633750075222	0.0656344901959889	0.0583072705250254	0.0309578972243635	0.0208946802247874	0.221867564197444	0.141275659570915	0.0101330519365673	9999	0.105708053834434	1.00078116496196	1.23715
U0137	0.357174004990586	0.197666599702543	0.14773580973102	0.117345541692192	0.0644845329516899	0.0432868945811521	0.0337788878544527	0.0243433606065598	0.250263776509525	0.166586438504138	0.0107041528761415	9999	0.180723254506264	0.999084380699929	1.41337
U0138	0.232418291905618	0.12776778565966	0.0975561675121148	0.0772767252385966	0.0594597765562876	0.0499933972238192	0.0253669133185711	0.0163615562934472	0.172197343705302	0.110204473398545	0.00971856918803914	9999	0.092534024255951	1.00064808075513	0.978321
U0139	0.167076140716432	0.0922837593166056	0.0695209010151824	0.0571391139672528	0.037086736073011	0.0465800213771986	0.0187977853490538	0.0115362281119303	0.126546620345608	0.0771394731944059	0.00656022053331993	9999	0.0708795512257473	1.00118924085311	0.710267
U0140	0.659619794482562	0.364252761990355	0.218245022804267	0.266024750538057	0.125716071297252	0.0625703820636266	0.0810707653186323	0.0424271333069069	0.458759484838917	0.277632002380456	0.017751830978968	9999	0.0603760578966467	1.00383119458193	2.57407
U0141	0.275158143548836	0.156787353295716	0.0993882015169125	0.0938363714585394	0.0655899480584809	0.0561815927560443	0.0409525577801337	0.0191043398396039	0.204345387541144	0.129113420330065	0.0105626838745241	9999	0.0658176686613964	1.00198315218609	1.15102
U0142	0.176902245021433	0.0954222094307788	0.0664414557220873	0.0565797516999624	0.0411304615142576	0.0261777635094746	0.0260860230748178	0.0123190771684287	0.128190126216841	0.0814502212581903	0.00591566538372856	9999	0.0662754672996344	1.00274539775572	0.716615
U0143	0.247811820670735	0.116505524001569	0.0862863540558116	0.0901636312785301	0.0470253652562304	0.051010984713467	0.0228276820823002	0.0156919206373113	0.17766278700994	0.107562982271333	0.00846994802277331	9999	0.0614312597066586	1.00293605277997	0.971019
U0144	0.459447758698211	0.202148324567144	0.157831438441164	0.158738288806095	0.0792806155915537	0.0462634402997449	0.0391559983335705	0.0310518606042579	0.393114121583232	0.196475244185814	0.0105429088892124	9999	0.343228048336573	0.993125601257045	1.77405
U0147	0.526410896411504	0.277665235655314	0.220131129530068	0.159342945967937	0.107634746948227	0.08165182502295	0.0503127104714728	0.0401811627692545	0.360474921111162	0.255144246720665	0.0162501793914455	9999	0.113049273333042	1.00091529220328	2.0952
U0149	0.267152087545415	0.138954810043426	0.101207558404912	0.0882433357542559	0.0554437528712898	0.0594147493920279	0.0304796303184819	0.0189610174389072	0.191638856050543	0.121253572726478	0.00995062945426313	9999	0.0493507601020567	1.00292126069262	1.0827
U0150	0.255666810966402	0.114933481712397	0.096197008930056	0.0864324692272169	0.0513810422747679	0.0310276419585416	0.021393313250643	0.0175304973164557	0.178205480188719	0.109094755070183	0.00909049910461889	9999	0.0787651359235833	1.00373467838518	0.970953
U0151	0.145714200100156	0.0819748739876359	0.0525526765965116	0.0486181329777432	0.0291561055007032	0.0224026240305026	0.0149324795045516	0.0104116502300838	0.103830355151013	0.0638697029645366	0.00541919895656245	9999	0.0909505611827785	1.00185920331168	0.578882
U0152	0.270815024221896	0.134816035140493	0.0955061703596786	0.102022479521436	0.0569317027024944	0.070527394443026	0.0360771229804688	0.0206489760497041	0.204899253549576	0.116081284398	0.00904455663322708	9999	0.0964000732477076	1.00003784026549	1.11737
U0153	0.123023764086349	0.0671368097583908	0.0498589355794359	0.0387635433889326	0.0279048804261327	0.0135174010596475	0.0105937399302896	0.0088332868723719	0.0862682335186976	0.0564183966997391	0.00395900868001334	9999	0.0761138136202426	1.0031443245159	0.486278
